epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8409,1.92232,1.90525,1.36952,0.76942,0.56268,0.64069,0.28872,1.77166,1.32962,1.47538,0.000554395,0.000554395,0.000554395
2,127.999,1.83935,1.35539,1.30529,0.78985,0.61774,0.66892,0.31193,1.7283,1.11951,1.43894,0.00108808,0.00108808,0.00108808
3,578.681,1.81064,1.25819,1.31237,0.78656,0.58342,0.6403,0.29413,1.76245,1.09725,1.46912,0.00159977,0.00159977,0.00159977
4,636.014,1.78185,1.19547,1.27483,0.84942,0.60296,0.69005,0.33982,1.70049,0.97704,1.39881,0.00156798,0.00156798,0.00156798
5,697.831,1.73769,1.11604,1.2686,0.85922,0.63203,0.71635,0.34608,1.67979,0.96785,1.39574,0.00153497,0.00153497,0.00153497
6,753.688,1.72926,1.0934,1.25991,0.86616,0.66124,0.73108,0.36694,1.67101,0.90157,1.38964,0.00150197,0.00150197,0.00150197
7,814.517,1.69243,1.05141,1.24721,0.87842,0.66475,0.73997,0.36609,1.65105,0.87178,1.38503,0.00146896,0.00146896,0.00146896
8,870.825,1.70077,1.04816,1.24636,0.86356,0.67894,0.75034,0.38037,1.59942,0.84625,1.34729,0.00143595,0.00143595,0.00143595
9,936.41,1.67017,1.01365,1.2316,0.87398,0.68408,0.7448,0.37897,1.61732,0.82962,1.34853,0.00140295,0.00140295,0.00140295
10,995.068,1.65879,0.98805,1.22376,0.88763,0.68176,0.75801,0.38676,1.61018,0.83063,1.35235,0.00136994,0.00136994,0.00136994
11,1050.87,1.62396,0.9603,1.21237,0.88543,0.70319,0.7677,0.38524,1.60809,0.79672,1.35235,0.00133693,0.00133693,0.00133693
12,1112.95,1.63932,0.95783,1.21395,0.86724,0.70197,0.76426,0.38853,1.59813,0.79794,1.3374,0.00130393,0.00130393,0.00130393
13,1170.86,1.6183,0.95177,1.20555,0.86435,0.68955,0.75935,0.38362,1.60987,0.83649,1.338,0.00127092,0.00127092,0.00127092
14,1231.99,1.62468,0.93675,1.20501,0.89627,0.70044,0.76964,0.39438,1.59123,0.78295,1.32712,0.00123791,0.00123791,0.00123791
15,1603.52,1.60135,0.92688,1.20211,0.8773,0.71281,0.7731,0.39285,1.59129,0.76518,1.33204,0.00120491,0.00120491,0.00120491
16,1664.13,1.59496,0.91494,1.19267,0.90505,0.71355,0.78003,0.4019,1.56917,0.74969,1.3301,0.0011719,0.0011719,0.0011719
17,1722.7,1.59148,0.90769,1.1955,0.89327,0.70653,0.77212,0.38772,1.59804,0.75766,1.34078,0.00113889,0.00113889,0.00113889
18,1882.33,1.59355,0.89945,1.18479,0.87163,0.7279,0.77988,0.4033,1.57009,0.72968,1.33033,0.00110589,0.00110589,0.00110589
19,1955.4,1.59783,0.89627,1.18999,0.88272,0.7284,0.78294,0.40393,1.56458,0.72863,1.32921,0.00107288,0.00107288,0.00107288
20,2015.72,1.58675,0.90029,1.18618,0.8829,0.7288,0.7862,0.40757,1.54659,0.72814,1.31647,0.00103987,0.00103987,0.00103987
21,3028.79,1.57368,0.87732,1.18667,0.87389,0.72242,0.78221,0.40999,1.56332,0.72498,1.32001,0.00100687,0.00100687,0.00100687
