epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.37,1.97473,2.21575,1.46102,0.76051,0.53369,0.58037,0.25535,1.85075,1.43857,1.52876,0.000554395,0.000554395,0.000554395
2,152.143,1.85777,1.41513,1.36658,0.79043,0.56508,0.63656,0.29863,1.77058,1.24783,1.44453,0.00100017,0.00100017,0.00100017
3,551.678,1.82958,1.25651,1.35289,0.81055,0.60916,0.67016,0.30196,1.78094,1.07104,1.43836,0.00133591,0.00133591,0.00133591
4,608.971,1.80513,1.18119,1.33965,0.84533,0.63591,0.70804,0.34797,1.70674,1.00098,1.39856,0.0011719,0.0011719,0.0011719
5,674.65,1.7384,1.0772,1.30494,0.86534,0.64634,0.72184,0.35358,1.66044,0.93301,1.38665,0.00100687,0.00100687,0.00100687
6,782.857,1.69348,1.00051,1.2804,0.89797,0.64856,0.73705,0.37548,1.63243,0.86421,1.35564,0.000841835,0.000841835,0.000841835
7,837.372,1.66295,0.94884,1.2622,0.87335,0.68369,0.7462,0.38103,1.61727,0.82433,1.35189,0.000676802,0.000676802,0.000676802
8,897.441,1.63714,0.90224,1.2453,0.87135,0.70178,0.76303,0.397,1.58407,0.78734,1.32959,0.000511769,0.000511769,0.000511769
9,967.461,1.60263,0.86908,1.2328,0.88523,0.71406,0.77553,0.40923,1.56113,0.75144,1.31562,0.000346736,0.000346736,0.000346736
10,1032.41,1.57175,0.82858,1.22092,0.88776,0.71519,0.77752,0.41679,1.5331,0.72732,1.29589,0.000181703,0.000181703,0.000181703
